year,month,doy,mday,hod,min,date,solar,rain,rh,temp,vap.press,vpd,wind,vap.den,utc,hod_utc,doy_utc,Ed,Ew
1996,7,206,24,11,0,1996-07-24 11:00:00,933.0,0.0,47.0,302.15,1.88381710220072,2.12430439184336,0.692673258361833,0.262968245892635,1996-07-24 18:00:00,18,206,11.258297083405248,9.856510638208304
1996,7,206,24,12,0,1996-07-24 12:00:00,853.0,0.0,45.0,303.15,1.91055864615047,2.33512723418391,1.18743987147743,0.267583864354198,1996-07-24 19:00:00,19,206,10.703874860810634,9.308621044960915
1996,7,206,24,13,0,1996-07-24 13:00:00,472.0,0.0,43.0,303.04999999999995,1.815198153599,2.4061929012824,0.445289951804036,0.254144259807058,1996-07-24 20:00:00,20,206,10.343522214220075,8.955924058651782
1996,7,206,24,14,0,1996-07-24 14:00:00,550.0,0.0,44.0,302.95,1.84677557324892,2.35044163868045,0.890579903608072,0.258480064881082,1996-07-24 21:00:00,21,206,10.550942802227848,9.159368840176256
1996,7,206,24,15,0,1996-07-24 15:00:00,319.0,0.0,46.0,303.45,1.98687861387387,2.33242272063454,0.940056564919631,0.278548261705572,1996-07-24 22:00:00,22,206,10.838101373711577,9.439448408941512
1996,7,206,24,16,0,1996-07-24 16:00:00,129.0,0.0,51.0,301.84999999999997,2.00896462246105,1.93018169609002,0.643196597050274,0.280159558735918,1996-07-24 23:00:00,23,206,12.056385466431184,10.644423500376664
1996,7,206,24,17,0,1996-07-24 17:00:00,2.0,0.0,70.0,298.75,2.29928057492654,0.985405960682803,0.4,0.317352453152798,1996-07-25 00:00:00,0,207,16.275880275579258,14.83585098922302
1996,7,206,24,18,0,1996-07-24 18:00:00,0.0,0.0,77.0,296.75,2.24429970696968,0.670375237146786,0.742149919673393,0.307690123375982,1996-07-25 01:00:00,1,207,18.296116160038967,16.827466588048644
1996,7,206,24,19,0,1996-07-24 19:00:00,0.0,0.0,86.0,295.34999999999997,2.30292507577443,0.374894779777233,1.33586985541211,0.31423804156205,1996-07-25 02:00:00,2,207,21.5317909757998,19.95545726103766
1996,7,206,24,20,0,1996-07-24 20:00:00,0.0,0.0,86.0,295.15,2.27503960380157,0.37035528433979,1.78115980721614,0.310222807846659,1996-07-25 03:00:00,3,207,21.567789151357744,19.991455436595604
1996,7,206,24,21,0,1996-07-24 21:00:00,0.0,0.0,88.0,294.15,2.18975751659302,0.29860329771723,1.63272982328146,0.297582134159696,1996-07-25 04:00:00,4,207,22.647089493592993,21.026275182291297
1996,7,206,24,22,0,1996-07-24 22:00:00,0.0,0.0,88.0,293.65,2.1233917051452,0.289553414337982,1.43482317803523,0.28807269608774,1996-07-25 05:00:00,5,207,22.737085869641692,21.116271558339996
1996,7,206,24,23,0,1996-07-24 23:00:00,0.0,0.0,87.0,293.25,2.04803123817046,0.306027656278345,1.58325316196991,0.277470344194191,1996-07-25 06:00:00,6,207,22.34471370852455,20.747434687164446
1996,7,207,25,0,0,1996-07-25 00:00:00,0.0,0.0,92.0,292.15,2.02266797419601,0.175884171669218,0.643196597050274,0.273006171281551,1996-07-25 07:00:00,7,207,25.227237547579822,23.480187283624527
1996,7,207,25,1,0,1996-07-25 01:00:00,0.0,0.0,93.0,292.15,2.04465349565467,0.153898650210566,0.4,0.275973629665046,1996-07-25 08:00:00,8,207,25.89333636899278,24.104858717623852
1996,7,207,25,2,0,1996-07-25 02:00:00,0.0,0.0,95.0,291.45,1.99912393595405,0.10521704926074,0.593719935738714,0.26918183806382,1996-07-25 09:00:00,9,207,27.519645837356208,25.633320977679958
1996,7,207,25,3,0,1996-07-25 03:00:00,14.0,0.0,96.0,291.95,2.08441477117797,0.0868506154657487,0.989533226231191,0.281147740309778,1996-07-25 10:00:00,10,207,28.275968871413124,26.332130068245334
1996,7,207,25,4,0,1996-07-25 04:00:00,74.0,0.0,96.0,293.34999999999997,2.27391492833448,0.0947464553472703,0.4,0.308178460232837,1996-07-25 11:00:00,11,207,28.023972915211196,26.080134112043407
1996,7,207,25,5,0,1996-07-25 05:00:00,130.0,0.0,94.0,293.54999999999995,2.25421788507456,0.143886247983483,1.08848654885431,0.305717254995601,1996-07-25 12:00:00,12,207,26.36156091351867,24.526831677051824
1996,7,207,25,6,0,1996-07-25 06:00:00,690.0,0.0,78.0,297.95,2.44299220386247,0.689049083140698,0.643196597050274,0.336284961539061,1996-07-25 13:00:00,13,207,18.351297683194613,16.87583147518757
1996,7,207,25,7,0,1996-07-25 07:00:00,829.0,0.0,61.0,301.15,2.3071465582268,1.47506091427615,0.593719935738714,0.32099629993662,1996-07-25 14:00:00,14,207,14.044579754454453,12.618111592314772
1996,7,207,25,8,0,1996-07-25 08:00:00,897.0,0.0,61.0,301.95,2.41683364611313,1.54518872456413,1.03900988754275,0.337150468783063,1996-07-25 15:00:00,15,207,13.900709110491347,12.474240948351666
1996,7,207,25,9,0,1996-07-25 09:00:00,929.0,0.0,50.0,303.75,2.1970119998717,2.1970119998717,1.8306364685277,0.308312186471995,1996-07-25 16:00:00,16,207,11.530007226118018,10.120265302311486
1996,7,207,25,10,0,1996-07-25 10:00:00,779.0,0.0,51.0,303.45,2.20284368059929,2.11645765390912,1.78115980721614,0.308825246673569,1996-07-25 17:00:00,17,207,11.76920252906828,10.357240563013761
1996,7,207,25,11,0,1996-07-25 11:00:00,797.0,0.0,47.0,303.95,2.08889671676298,2.35556438273272,1.73168314590458,0.293333112561769,1996-07-25 18:00:00,18,207,10.935753157031229,9.533966711834285
1996,7,207,25,12,0,1996-07-25 12:00:00,280.0,0.0,44.0,303.95,1.95556288377811,2.48889821571759,2.62226304951266,0.274609722398252,1996-07-25 19:00:00,19,207,10.372085002940171,8.98051104088858
1996,7,207,25,13,0,1996-07-25 13:00:00,627.0,0.0,45.0,304.25,2.03447706082812,2.48658307434548,2.62226304951266,0.285973216339714,1996-07-25 20:00:00,20,207,10.506994791759594,9.111740975909875
1996,7,207,25,14,0,1996-07-25 14:00:00,473.0,0.0,45.0,303.65,1.96604665392724,2.40294591035551,3.06755300131669,0.275809410706833,1996-07-25 21:00:00,21,207,10.614383920332891,9.219130104483172
1996,7,207,25,15,0,1996-07-25 15:00:00,57.0,0.0,49.0,302.15,1.9639795320816,2.04414196196248,2.52330972688954,0.274158384015726,1996-07-25 22:00:00,22,207,11.63129612743255,10.223980108741486
1996,7,207,25,16,0,1996-07-25 16:00:00,74.0,0.0,56.0,301.25,2.13040157058939,1.67388694832023,2.37487974295486,0.296503964590704,1996-07-25 23:00:00,23,207,13.090146864351333,11.669622207764073
1996,7,207,25,17,0,1996-07-25 17:00:00,1.0,0.0,66.0,298.95,2.19373840493327,1.13010766314744,1.53377650065835,0.302987960423518,1996-07-26 00:00:00,0,208,15.411913599810338,13.979384482009772
1996,7,207,25,18,0,1996-07-25 18:00:00,0.0,0.0,72.0,298.25,2.29575037472817,0.892791812394287,2.27592642033174,0.316334887759356,1996-07-26 01:00:00,1,208,16.806352256955872,15.360761082451583
1996,7,207,25,19,0,1996-07-25 19:00:00,0.0,0.0,70.0,298.45,2.25869093663267,0.968010401414003,1.92958979115082,0.311437115237566,1996-07-26 02:00:00,2,208,16.329863044075445,14.88983375771921
1996,7,207,25,20,0,1996-07-25 20:00:00,0.0,0.0,75.0,297.25,2.25269198245717,0.750897327485724,2.52330972688954,0.309361063604852,1996-07-26 03:00:00,3,208,17.693906606197455,16.23641839134183
1996,7,207,25,21,0,1996-07-25 21:00:00,0.0,0.0,85.0,295.95,2.36060867187693,0.416578000919459,1.92958979115082,0.322763427036194,1996-07-26 04:00:00,4,208,21.01542349857106,19.45770451372923
1996,7,207,25,22,0,1996-07-25 22:00:00,0.0,1.78,88.0,295.15,2.3279475015644,0.317447386576963,1.92958979115082,0.31743729175007,1996-07-26 05:00:00,5,208,22.467096741495588,20.84628243019389
1996,7,207,25,23,0,1996-07-25 23:00:00,0.0,0.0,88.0,295.54999999999995,2.38532042316762,0.325270966795585,2.27592642033174,0.325701430393042,1996-07-26 06:00:00,6,208,22.39509964065663,20.77428532935493
1996,7,208,26,0,0,1996-07-26 00:00:00,0.0,0.25,86.0,295.45,2.31697941222535,0.377182695013429,5.14557277640219,0.316262824111995,1996-07-26 07:00:00,7,208,21.513791888020826,19.937458173258687
1996,7,208,26,1,0,1996-07-26 01:00:00,0.0,15.5,90.0,290.15,1.74484433623279,0.193871592914755,3.56231961443229,0.23389516188097,1996-07-26 08:00:00,8,208,24.397062165920257,22.7202318656977
1996,7,208,26,2,0,1996-07-26 02:00:00,0.0,11.17,89.0,291.54999999999995,1.88464577038643,0.232933746901694,1.18743987147743,0.253854435152548,1996-07-26 09:00:00,9,208,23.61202987746979,21.964803889377947
1996,7,208,26,3,0,1996-07-26 03:00:00,4.0,4.07,98.0,290.34999999999997,1.92415986850266,0.0392685687449523,2.47383306557798,0.258110075832724,1996-07-26 10:00:00,10,208,30.484128336067673,28.40490235120816
1996,7,208,26,4,0,1996-07-26 04:00:00,0.0,0.0,94.0,291.25,1.95339620895664,0.124684864401488,3.46336629180917,0.262844110386683,1996-07-26 11:00:00,11,208,26.77555255215733,24.940823315690483
1996,7,208,26,5,0,1996-07-26 05:00:00,13.0,0.0,95.0,291.15,1.96180607038437,0.103252951072862,2.52330972688954,0.263885084875293,1996-07-26 12:00:00,12,208,27.573644865221286,25.687320005545036
1996,7,208,26,6,0,1996-07-26 06:00:00,278.0,1.77,93.0,291.54999999999995,1.96934895107796,0.148230566210169,2.17697309770862,0.265263623249292,1996-07-26 13:00:00,13,208,26.001333921934737,24.21285627056581
1996,7,208,26,7,0,1996-07-26 07:00:00,690.0,0.0,80.0,295.25,2.12925139621375,0.532312849053437,2.5727863882011,0.290441601326234,1996-07-26 14:00:00,14,208,19.415498984350744,17.923389463125268
1996,7,208,26,8,0,1996-07-26 08:00:00,335.0,0.0,78.0,295.95,2.16620560478118,0.610981068015206,2.62226304951266,0.296182909515566,1996-07-26 15:00:00,15,208,18.711251902645436,17.235785694638395
1996,7,208,26,9,0,1996-07-26 09:00:00,935.0,0.0,60.0,299.75,2.0907495767279,1.39383305115193,3.01807634000513,0.289536409758375,1996-07-26 16:00:00,16,208,14.107177067510156,12.681806833192834
1996,7,208,26,10,0,1996-07-26 10:00:00,571.0,0.0,65.0,300.54999999999995,2.37383208716637,1.27821727770497,2.27592642033174,0.329616318014608,1996-07-26 17:00:00,17,208,14.925340658311933,13.49419798219939
1996,7,208,26,11,0,1996-07-26 11:00:00,410.0,0.0,64.0,300.54999999999995,2.33731159351766,1.31473777135368,1.03900988754275,0.32454529773746,1996-07-26 18:00:00,18,208,14.729141114175636,13.29926600924396
1996,7,208,26,12,0,1996-07-26 12:00:00,916.0,0.0,68.0,301.25,2.58691619285854,1.21737232605108,1.48429983934679,0.36004052843157,1996-07-26 19:00:00,19,208,15.404598576092079,13.968793562811655
1996,7,208,26,13,0,1996-07-26 13:00:00,813.0,0.0,63.0,301.75,2.4673227318827,1.44906255682,1.18743987147743,0.343965761067669,1996-07-26 20:00:00,20,208,14.319282846411404,12.890589426876444
1996,7,208,26,14,0,1996-07-26 14:00:00,527.0,0.0,66.0,300.95,2.46733071198546,1.27104915465918,1.58325316196991,0.343054948130676,1996-07-26 21:00:00,21,208,15.052095572989765,13.619566455189199
1996,7,208,26,15,0,1996-07-26 15:00:00,140.0,0.0,70.0,299.65,2.42488908177654,1.03923817790423,2.22644975902018,0.335697522169705,1996-07-26 22:00:00,22,208,16.113931970090704,14.673902683734466
1996,7,208,26,16,0,1996-07-26 16:00:00,134.0,0.0,72.0,298.95,2.39316916901811,0.930676899062599,2.22644975902018,0.33053232046202,1996-07-26 23:00:00,23,208,16.680384202643076,15.23479302813879
1996,7,208,26,17,0,1996-07-26 17:00:00,2.0,0.0,81.0,296.54999999999995,2.33260369262088,0.547153952590083,1.8306364685277,0.319580934771586,1996-07-27 00:00:00,0,209,19.49134446249225,17.9891595400043
1996,7,208,26,18,0,1996-07-26 18:00:00,0.0,0.0,90.0,295.04999999999995,2.36638025758566,0.26293113973174,1.33586985541211,0.3225686286903,1996-07-27 01:00:00,1,209,23.515090383560846,21.838260083338287
1996,7,208,26,19,0,1996-07-26 19:00:00,0.0,0.0,96.0,294.65,2.46319527193138,0.102633136330474,1.68220648459302,0.335310584936056,1996-07-27 02:00:00,2,209,27.789976670166546,25.846137866998756
1996,7,208,26,20,0,1996-07-26 20:00:00,0.0,0.0,96.0,293.75,2.33075168012756,0.0971146533386484,1.03900988754275,0.316312137389311,1996-07-27 03:00:00,3,209,27.951974070582068,26.00813526741428
1996,7,208,26,21,0,1996-07-26 21:00:00,0.0,0.0,97.0,293.15,2.26934912479723,0.0701860554060998,1.23691653278899,0.30734997952165,1996-07-27 04:00:00,4,209,28.97954625809132,26.97164073492758
1996,7,208,26,22,0,1996-07-26 22:00:00,0.0,0.0,97.0,293.65,2.34055676589869,0.0723883535844956,2.02854311377394,0.317534676369441,1996-07-27 05:00:00,5,209,28.889547545414427,26.881642022250684
1996,7,208,26,23,0,1996-07-26 23:00:00,0.0,0.0,96.0,293.75,2.33075168012756,0.0971146533386484,1.43482317803523,0.316312137389311,1996-07-27 06:00:00,6,209,27.951974070582068,26.00813526741428
1996,7,209,27,0,0,1996-07-27 00:00:00,0.0,0.0,96.0,293.54999999999995,2.30217996773572,0.0959241653223217,1.13796321016587,0.312221877442316,1996-07-27 07:00:00,7,209,27.987973492896636,26.044134689728846
1996,7,209,27,1,0,1996-07-27 01:00:00,0.0,0.0,96.0,293.25,2.25989653867085,0.0941623557779523,0.4,0.306174172903935,1996-07-27 08:00:00,8,209,28.04197262636847,26.09813382320068
1996,7,209,27,2,0,1996-07-27 02:00:00,0.0,0.0,96.0,292.75,2.19093206019442,0.0912888358414343,0.494766613115595,0.296324656607325,1996-07-27 09:00:00,9,209,28.131971182154874,26.188132378987085
1996,7,209,27,3,0,1996-07-27 03:00:00,24.0,0.0,97.0,292.34999999999997,2.15935430667258,0.0667841538146159,0.692673258361833,0.291654700978747,1996-07-27 10:00:00,10,209,29.123544198374358,27.115638675210615
1996,7,209,27,4,0,1996-07-27 04:00:00,183.0,0.0,97.0,294.25,2.42857802910935,0.0751106606941039,0.4,0.330149397300227,1996-07-27 11:00:00,11,209,28.781549090202148,26.773643567038405
1996,7,209,27,5,0,1996-07-27 05:00:00,375.0,0.0,83.0,296.65,2.40465142076545,0.492518965698947,0.494766613115595,0.329563007914173,1996-07-27 12:00:00,12,209,20.14227026902224,18.615706876373512
1996,7,209,27,6,0,1996-07-27 06:00:00,573.0,0.0,70.0,298.45,2.25869093663267,0.968010401414003,1.78115980721614,0.311437115237566,1996-07-27 13:00:00,13,209,16.329863044075445,14.88983375771921
1996,7,209,27,7,0,1996-07-27 07:00:00,742.0,0.0,63.0,300.25,2.26072088051487,1.32772496157223,1.53377650065835,0.313597027301061,1996-07-27 14:00:00,14,209,14.589090138190153,13.160396718655193
1996,7,209,27,8,0,1996-07-27 08:00:00,867.0,0.0,59.0,301.54999999999995,2.28401174844955,1.58719460485477,1.18743987147743,0.318199609148172,1996-07-27 15:00:00,15,209,13.595493206181038,12.171244193271825
1996,7,209,27,9,0,1996-07-27 09:00:00,497.0,0.0,58.0,302.25,2.33818041638936,1.69316512910954,1.43482317803523,0.326502344254402,1996-07-27 16:00:00,16,209,13.282563254111835,11.859481535063455
1996,7,209,27,10,0,1996-07-27 10:00:00,959.0,0.0,55.0,303.04999999999995,2.32176508018477,1.89962597469663,1.18743987147743,0.325068239288098,1996-07-27 17:00:00,17,209,12.581297970110636,11.162202282096295
1996,7,209,27,11,0,1996-07-27 11:00:00,930.0,0.0,53.0,303.65,2.31556605906986,2.05342650521289,1.43482317803523,0.324842194832492,1996-07-27 18:00:00,18,209,12.103416194893349,10.687570103819333
1996,7,209,27,12,0,1996-07-27 12:00:00,542.0,0.0,51.0,303.75,2.24095223986913,2.15307175987426,0.692673258361833,0.314478430201435,1996-07-27 19:00:00,19,209,11.715355728312735,10.303393762258215
1996,7,209,27,13,0,1996-07-27 13:00:00,155.0,0.0,52.0,303.15,2.20775665777388,2.0379292225605,1.23691653278899,0.309208021031518,1996-07-27 20:00:00,20,209,12.008196633474636,10.594205165921693
1996,7,209,27,14,0,1996-07-27 14:00:00,526.0,0.0,51.0,304.34999999999997,2.31889187429027,2.22795493804359,0.841103242296512,0.326058690776392,1996-07-27 21:00:00,21,209,11.607662126801653,10.195700160747133
1996,7,209,27,15,0,1996-07-27 15:00:00,302.0,0.0,55.0,303.65,2.40294591035551,1.96604665392724,1.78115980721614,0.337100390863907,1996-07-27 22:00:00,22,209,12.473491394465691,11.05439570645135
1996,7,209,27,16,0,1996-07-27 16:00:00,120.0,0.0,59.0,302.34999999999997,2.39226508200372,1.6624214976636,1.28639319410055,0.334165222565247,1996-07-27 23:00:00,23,209,13.451656013690357,12.027407000781144
